Peugeot,407,mechanical,silver,263000,2004,gasoline,False,gasoline,2.2,sedan,False,owned,front,4800.0,False,Минская обл.,17,2,False,True,False,True,True,False,False,True,True,True,113
Peugeot,406,mechanical,blue,111111,2002,gasoline,False,gasoline,2.2,sedan,False,owned,front,2900.0,True,Брестская обл.,8,2,False,True,False,False,False,True,False,False,True,True,113
Peugeot,307,mechanical,silver,210000,2007,gasoline,False,gasoline,1.6,hatchback,False,owned,front,5400.0,False,Витебская обл.,5,2,False,True,False,False,False,True,False,False,False,True,114
Peugeot,308,mechanical,white,104000,2011,gasoline,False,gasoline,1.6,hatchback,False,owned,front,6150.0,False,Минская обл.,6,2,False,True,False,False,False,False,False,False,False,False,115
Peugeot,206,mechanical,other,207000,2007,gasoline,False,gasoline,1.4,sedan,False,owned,front,2670.0,True,Минская обл.,6,5,False,True,False,True,False,False,False,False,True,True,115
Peugeot,406,mechanical,blue,190000,1997,diesel,False,diesel,1.9,universal,False,owned,front,3200.0,False,Брестская обл.,15,3,False,False,False,False,True,False,False,False,False,True,115
Peugeot,407,mechanical,silver,285000,2007,diesel,False,diesel,1.6,universal,False,owned,front,6300.0,False,Гродненская обл.,4,2,False,True,False,False,False,False,False,False,False,False,117
Peugeot,406,mechanical,blue,260000,1998,gasoline,False,gasoline,1.8,sedan,False,owned,front,2450.0,False,Минская обл.,5,2,False,True,False,False,False,False,False,False,False,False,118
Peugeot,605,mechanical,silver,123456,1994,gasoline,False,gasoline,2.0,sedan,False,owned,front,1000.0,True,Брестская обл.,1,5,False,True,False,True,False,False,False,False,False,False,118
Peugeot,407,mechanical,other,225343,2005,diesel,False,diesel,1.6,universal,False,owned,front,5000.0,False,Минская обл.,7,2,False,True,False,False,False,False,False,False,True,False,118
Peugeot,405,mechanical,other,500000,1995,diesel,False,diesel,1.9,universal,False,owned,front,1400.0,True,Минская обл.,16,3,False,False,False,False,False,False,False,False,False,True,119
Peugeot,406,mechanical,other,312685,1997,gasoline,False,gasoline,1.8,sedan,False,owned,front,1900.0,True,Гродненская обл.,7,3,False,False,False,False,False,True,False,False,False,True,119
Peugeot,307,automatic,green,250000,2002,gasoline,False,gasoline,1.6,hatchback,False,owned,front,3800.0,False,Минская обл.,8,2,False,True,False,False,True,False,False,False,False,True,119
Peugeot,307,mechanical,silver,253000,2004,diesel,False,diesel,1.6,universal,False,owned,front,5300.0,False,Витебская обл.,12,7,False,True,False,False,False,False,False,False,True,True,119
Peugeot,605,mechanical,green,300000,1998,gas,True,gasoline,2.0,sedan,False,owned,front,1800.0,False,Витебская обл.,4,2,False,True,False,False,True,True,False,False,False,True,121
Peugeot,605,mechanical,black,450000,1998,gasoline,False,gasoline,3.0,sedan,False,owned,front,2000.0,False,Витебская обл.,4,2,False,True,False,False,False,True,False,False,False,True,122
Peugeot,405,mechanical,red,1111,1994,diesel,False,diesel,1.9,universal,False,owned,front,950.0,False,Минская обл.,4,10,False,False,False,False,False,False,False,False,False,True,123
Peugeot,206,mechanical,blue,153000,2001,diesel,False,diesel,1.9,hatchback,False,emergency,front,10000.0,False,Минская обл.,9,3,False,False,False,False,False,False,False,False,False,True,124
Peugeot,308,automatic,red,106000,2010,gasoline,False,gasoline,1.6,hatchback,False,owned,front,6000.0,False,Гомельская обл.,9,2,False,True,False,False,False,True,False,False,True,True,125
Peugeot,406,mechanical,silver,400000,2002,diesel,False,diesel,2.2,sedan,False,owned,front,3500.0,True,Гомельская обл.,6,8,False,True,False,False,True,True,False,False,False,True,126
Peugeot,607,automatic,silver,300000,2003,diesel,False,diesel,2.2,sedan,False,owned,front,4200.0,True,Минская обл.,11,7,False,True,True,True,True,True,True,True,True,True,127
Peugeot,308,automatic,silver,125000,2009,gasoline,False,gasoline,1.6,hatchback,False,owned,front,5700.0,False,Минская обл.,6,2,False,True,False,False,False,True,False,False,False,True,128
Peugeot,406,mechanical,green,350000,2002,diesel,False,diesel,2.0,sedan,False,owned,front,3500.0,True,Гомельская обл.,10,2,False,True,False,True,False,False,False,False,False,False,129
Peugeot,406,mechanical,green,360000,1995,gasoline,False,gasoline,1.8,hatchback,False,owned,front,1800.0,True,Витебская обл.,3,4,False,True,False,False,False,False,False,False,False,True,129
Peugeot,406,mechanical,red,450000,1996,gasoline,False,gasoline,1.8,sedan,False,owned,front,1600.0,False,Минская обл.,1,3,False,True,False,False,False,False,False,False,False,False,131
Peugeot,406,mechanical,silver,500000,2000,diesel,False,diesel,2.0,universal,False,emergency,front,1000.0,False,Гомельская обл.,4,3,False,True,False,False,False,False,False,False,False,False,131
Peugeot,206,mechanical,silver,250000,2003,diesel,False,diesel,1.4,universal,False,owned,front,3000.0,False,Минская обл.,4,4,False,True,False,False,False,False,False,False,False,False,131
Peugeot,407,mechanical,other,244000,2005,gasoline,False,gasoline,1.8,sedan,False,owned,front,6000.0,False,Минская обл.,24,7,False,True,False,False,False,False,True,True,True,True,132
Peugeot,206,mechanical,black,321000,2002,gasoline,False,gasoline,1.6,hatchback,False,owned,front,3100.0,False,Минская обл.,9,2,False,True,False,False,False,False,False,False,False,True,132
Peugeot,407,mechanical,other,291000,2006,gasoline,False,gasoline,2.0,sedan,False,owned,front,4950.0,True,Минская обл.,6,3,False,True,True,False,False,True,False,True,True,True,132
Peugeot,206,mechanical,silver,159000,2002,gasoline,False,gasoline,1.6,hatchback,False,owned,front,2500.0,False,Минская обл.,10,2,False,False,False,False,False,True,False,False,False,False,133
Peugeot,206,mechanical,silver,253555,1999,gasoline,False,gasoline,1.4,hatchback,False,owned,front,2200.0,False,Гомельская обл.,7,3,False,True,False,False,False,False,False,False,False,False,134
Peugeot,307,automatic,silver,250000,2003,gasoline,False,gasoline,1.6,hatchback,False,owned,front,4000.0,True,Минская обл.,4,4,False,True,False,True,False,False,False,True,True,False,134
